ds,HW_A,HW_A-lo-90,HW_A-hi-90,HW_M,HW_M-lo-90,HW_M-hi-90
2022-10-14,996.1527585676433,-2117.2348266071167,4109.540343742404,1679.841442422125,-11304.291912631355,14663.974797475605
2022-10-15,1274.551390532263,-1840.254643962813,4389.357425027339,2200.075356732463,-10813.282212493716,15213.432925958641
2022-10-16,1433.2798572789472,-1682.9581071238442,4549.5178216817385,2499.6935166461467,-10521.340059290007,15520.7270925823
2022-10-17,1442.310753460582,-1675.372672870843,4559.994179792007,2522.0460541992816,-10506.295318048387,15550.38742644695
2022-10-18,2080.33422268221,-1038.8082487612678,5199.476694125688,3714.5304511172562,-9332.198361549787,16761.259263784297
2022-10-19,4112.741913160147,992.126762531308,7233.357063788986,7496.136994677959,-5588.18240455799,20580.456393913908
2022-10-20,1020.3832323391193,-2101.7182821640886,4142.484746842327,1751.1267688152761,-11341.985232425353,14844.238770055907
2022-10-21,1248.875691326691,-1874.7259220798298,4372.477304733212,2182.8886754851987,-10921.287112634816,15287.064463605215
2022-10-22,1407.577364779226,-1717.538132622178,4532.69286218063,2485.1470542812167,-10677.288021108068,15647.582129670502
2022-10-23,2315.4868668648787,-811.1563494067545,5442.1300831365115,4191.813313329276,-8978.253039207242,17361.879665865796
2022-10-24,2004.651680249906,-1123.5331392707058,5132.836499770518,3617.124258374809,-9563.230163277778,16797.478680027394
2022-10-25,2744.1737533255296,-385.56660304433126,5873.91410969539,5011.506895461057,-8185.953925801653,18208.967716723768
2022-10-26,4025.6673551077984,894.3574793502689,7156.977230865328,7425.126713302493,-5800.20839697115,20650.461823576137
2022-10-27,1502.6315132608197,-1630.2619130760959,4635.524939597735,2692.1005096050176,-10543.110709575038,15927.311728785073
2022-10-28,754.4442754319325,-2380.046781043074,3888.935331906939,1282.068898689811,-11967.075556123558,14531.21335350318
2022-10-29,1610.528433015546,-1525.5743812354867,4746.631247266579,2907.8309685160525,-10421.351782983966,16237.013720016072
