article,month,Quantity
QUIM BREAD,09,180.0
QUIM BREAD,10,82.0
QUIM BREAD,11,77.0
QUIM BREAD,12,75.0
REDUCTION SUCREES 12,06,1.0
REDUCTION SUCREES 12,12,7.0
REDUCTION SUCREES 24,12,1.0
RELIGIEUSE,07,39.0
RELIGIEUSE,08,71.0
RELIGIEUSE,09,9.0
ROYAL,01,4.0
ROYAL,02,33.0
ROYAL,03,31.0
ROYAL,04,26.0
ROYAL,05,61.0
ROYAL,06,5.0
ROYAL,07,6.0
ROYAL,08,25.0
ROYAL,09,46.0
ROYAL,10,7.0
ROYAL,11,3.0
ROYAL,12,40.0
ROYAL 4P,01,2.0
ROYAL 4P,02,2.0
ROYAL 4P,03,8.0
ROYAL 4P,04,11.0
ROYAL 4P,05,15.0
ROYAL 4P,07,13.0
ROYAL 4P,08,14.0
ROYAL 4P,09,7.0
ROYAL 4P,10,5.0
ROYAL 4P,12,1.0
ROYAL 6P,01,1.0
ROYAL 6P,02,1.0
ROYAL 6P,03,1.0
ROYAL 6P,04,10.0
ROYAL 6P,05,16.0
ROYAL 6P,06,3.0
ROYAL 6P,07,14.0
ROYAL 6P,08,12.0
ROYAL 6P,09,3.0
ROYAL 6P,10,1.0
ROYAL 6P,11,2.0
ROYAL 6P,12,2.0
SABLE F  P,07,38.0
SABLE F  P,08,69.0
SABLE F  P,09,21.0
SACHET DE CROUTON,01,8.0
SACHET DE CROUTON,02,3.0
SACHET DE CROUTON,03,6.0
SACHET DE CROUTON,04,5.0
SACHET DE CROUTON,05,14.0
SACHET DE CROUTON,06,14.0
SACHET DE CROUTON,07,28.0
SACHET DE CROUTON,08,19.0
SACHET DE CROUTON,09,2.0
SACHET DE CROUTON,10,7.0
SACHET DE CROUTON,11,3.0
SACHET DE CROUTON,12,12.0
SACHET DE VIENNOISERIE,09,1.0
SACHET VIENNOISERIE,01,27.0
SACHET VIENNOISERIE,02,55.0
SACHET VIENNOISERIE,03,58.0
SACHET VIENNOISERIE,04,55.0
SACHET VIENNOISERIE,05,66.0
