article,01,02,03,04,05,06,07,08,09,10,11,12,mean,std,XYZ
SACHET DE CROUTON,8.0,3.0,6.0,5.0,14.0,14.0,28.0,19.0,2.0,7.0,3.0,12.0,10.083333333333334,7.398855016524891,X
SACHET DE VIENNOISERIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.2763853991962833,X
SACHET VIENNOISERIE,27.0,55.0,58.0,55.0,66.0,34.0,69.0,52.0,26.0,29.0,27.0,11.0,42.416666666666664,18.020628611553914,Y
SAND JB,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,1.114924013354971,X
SAND JB EMMENTAL,101.0,102.0,138.0,147.0,177.0,205.0,254.0,294.0,214.0,81.0,46.0,33.0,149.33333333333334,78.2733813133317,Z
SANDWICH COMPLET,169.0,165.0,271.0,312.0,316.0,353.0,295.0,389.0,298.0,141.0,105.0,74.0,240.66666666666666,99.8009129328095,Z
SAVARIN,17.0,55.0,52.0,43.0,94.0,57.0,42.0,37.0,22.0,17.0,23.0,8.0,38.916666666666664,22.870863317524528,Y
SEIGLE,84.0,82.0,106.0,130.0,138.0,116.0,216.0,258.0,112.0,57.0,47.0,76.0,118.5,59.79618159492572,Z
SPECIAL BREAD,344.0,419.0,395.0,498.0,577.0,487.0,848.0,845.0,451.0,186.0,175.0,231.0,454.6666666666667,212.61754918684915,Z
SPECIAL BREAD KG,26.0,35.0,34.0,38.0,39.0,42.0,74.0,85.0,36.0,21.0,15.0,12.0,38.083333333333336,20.7944637397126,Y
ST HONORE,0.0,0.0,0.0,0.0,0.0,12.0,26.0,54.0,14.0,4.0,0.0,0.0,9.166666666666666,15.651588488783567,Y
SUCETTE,31.0,51.0,83.0,94.0,75.0,88.0,249.0,222.0,49.0,68.0,29.0,22.0,88.41666666666667,69.80981107424816,Z
TARTE FINE,0.0,8.0,14.0,17.0,13.0,0.0,4.0,0.0,0.0,0.0,2.0,7.0,5.416666666666667,6.020220557052337,X
TARTE FRAISE 4PER,0.0,0.0,2.0,23.0,38.0,34.0,39.0,29.0,0.0,0.0,0.0,0.0,13.75,16.39677305650922,Y
TARTE FRAISE 6P,0.0,0.0,1.0,16.0,25.0,22.0,32.0,22.0,2.0,0.0,0.0,0.0,10.0,11.825114516711174,Y
TARTE FRUITS 4P,6.0,28.0,29.0,30.0,59.0,28.0,54.0,63.0,32.0,29.0,13.0,9.0,31.666666666666668,17.77795138804119,Y
TARTE FRUITS 6P,5.0,20.0,21.0,26.0,48.0,16.0,47.0,47.0,22.0,21.0,7.0,3.0,23.583333333333332,15.353926388893349,Y
TARTELETTE,162.0,450.0,468.0,414.0,622.0,446.0,712.0,712.0,414.0,258.0,219.0,143.0,418.3333333333333,188.23493004458254,Z
TARTELETTE CHOC,0.0,0.0,0.0,6.0,0.0,0.0,9.0,37.0,5.0,3.0,0.0,0.0,5.0,10.082988974836116,Y
TARTELETTE COCKTAIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.16666666666666666,0.5527707983925666,X
TARTELETTE FRAISE,0.0,0.0,12.0,101.0,159.0,90.0,165.0,253.0,25.0,0.0,0.0,0.0,67.08333333333333,82.45348015025738,Z
THE,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5833333333333334,0.759202798262025,X
TRADITIONAL BAGUETTE,5391.0,7154.0,7945.0,10057.0,12161.0,10047.0,19254.0,24310.0,9064.0,4779.0,3664.0,3637.0,9788.583333333334,6033.827246703003,Z
TRAITEUR,155.0,140.0,116.0,62.0,77.0,33.0,142.0,136.0,150.0,153.0,132.0,160.0,121.33333333333333,39.6596632472956,Z
TRIANGLES,0.0,0.0,8.0,23.0,3.0,36.0,11.0,0.0,0.0,0.0,0.0,0.0,6.75,11.07643895843786,Y
TROIS CHOCOLAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,0.2763853991962833,X
TROPEZIENNE,5.0,25.0,39.0,32.0,53.0,40.0,85.0,112.0,47.0,35.0,24.0,11.0,42.333333333333336,28.86558889442968,Z
TROPEZIENNE FRAMBOISE,0.0,0.0,13.0,15.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.75,5.084699270032267,X
TULIPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5527707983925666,X
VIENNOISE,0.0,0.0,0.0,0.0,0.0,0.0,91.0,121.0,6.0,0.0,0.0,0.0,18.166666666666668,39.78867789822739,Z
VIK BREAD,179.0,172.0,220.0,298.0,361.0,231.0,743.0,746.0,227.0,132.0,108.0,202.0,301.5833333333333,208.38004476330156,Z
