article,01,02,03,04,05,06,07,08,09,10,11,12,mean,std
TARTE FINE,0.0,8.0,14.0,17.0,13.0,0.0,4.0,0.0,0.0,0.0,2.0,7.0,5.459777658837072,5.786276422220345
TARTE FRAISE 4PER,0.0,0.0,2.0,23.0,38.0,34.0,39.0,29.0,0.0,0.0,0.0,0.0,13.939055218322087,15.769290327156398
TARTE FRAISE 6P,0.0,0.0,1.0,16.0,25.0,22.0,32.0,22.0,2.0,0.0,0.0,0.0,10.130365322622227,11.371607363219695
TARTE FRUITS 4P,6.0,28.0,29.0,30.0,59.0,28.0,54.0,63.0,32.0,29.0,13.0,9.0,30.674615575336276,17.47686448887824
TARTE FRUITS 6P,5.0,20.0,21.0,26.0,48.0,16.0,47.0,47.0,22.0,21.0,7.0,3.0,22.99551855158762,14.913680430074843
TARTELETTE,162.0,450.0,468.0,414.0,622.0,446.0,712.0,712.0,414.0,258.0,219.0,143.0,401.8977330984225,190.9616781151309
TARTELETTE CHOC,0.0,0.0,0.0,6.0,0.0,0.0,9.0,37.0,5.0,3.0,0.0,0.0,5.363070641059722,9.781654952107992
TARTELETTE COCKTAIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.19424553321851665,0.5409592499130169
TARTELETTE FRAISE,0.0,0.0,12.0,101.0,159.0,90.0,165.0,253.0,25.0,0.0,0.0,0.0,68.18120096311362,79.32454867191696
THE,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.595895437971097,0.7309224080874214
TRADITIONAL BAGUETTE,5391.0,7154.0,7945.0,10057.0,12161.0,10047.0,19254.0,24310.0,9064.0,4779.0,3664.0,3637.0,9520.386470002593,5882.823543678219
TRAITEUR,155.0,140.0,116.0,62.0,77.0,33.0,142.0,136.0,150.0,153.0,132.0,160.0,115.4994997557592,43.88123820774529
TRIANGLES,0.0,0.0,8.0,23.0,3.0,36.0,11.0,0.0,0.0,0.0,0.0,0.0,7.059031354174133,10.704164347571199
TROIS CHOCOLAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09712276660925832,0.27047962495650846
TROPEZIENNE,5.0,25.0,39.0,32.0,53.0,40.0,85.0,112.0,47.0,35.0,24.0,11.0,41.37135158769736,27.964399858941572
TROPEZIENNE FRAMBOISE,0.0,0.0,13.0,15.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.9167642335737334,4.924676323505255
TULIPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.19424553321851665,0.540959249913017
VIENNOISE,0.0,0.0,0.0,0.0,0.0,0.0,91.0,121.0,6.0,0.0,0.0,0.0,19.711096040349577,38.65948856475192
VIK BREAD,179.0,172.0,220.0,298.0,361.0,231.0,743.0,746.0,227.0,132.0,108.0,202.0,294.92595557833107,201.7397016198364
